Date,Season,Country,Region,Aircraft,Operator,Schedule,Total on board,Survivors,Total fatalities,Crash cause
1918-05-02,Spring,United States of America,North America,De Havilland DH.4,United States Signal Corps - USSC,Dayton - Dayton,2,No,2,Technical failure
1918-06-08,Summer,United Kingdom,Europe,Handley Page V/1500,Handley Page Aircraft Company Ltd,Cricklewood - Cricklewood,6,Yes,5,Technical failure
1918-06-11,Summer,Egypt,Africa,Avro 504,Royal Air Force - RAF,Abukir - Abukir,2,Yes,1,Unknown
1918-06-19,Summer,United States of America,North America,De Havilland DH.4,United States Signal Corps - USSC,Wright Patterson AFB-Wright Patterson AFB,1,No,1,Technical failure
1918-06-24,Summer,France,Europe,Breguet 14,French Air Force - Armée de l'Air,,,Yes,0,Unknown
1918-07-14,Summer,United Kingdom,Europe,Fairey III,Marine Aeroplane Depot,Isle of Grain - Usworth - Glasgow,1,No,1,Unknown
1918-07-18,Summer,United Kingdom,Europe,De Havilland DH.6,Royal Air Force - RAF,Seaton Carew - Seaton Carew,2,No,2,Unknown
1918-08-19,Summer,United Kingdom,Europe,Handley Page H.P.12,Royal Air Force - RAF,Castle Bromwich - Castle Bromwich,7,No,7,Technical failure
1918-08-23,Summer,Portugal,Europe,Tellier T.3,Portuguese Air Force - Aeronáutica Militar,,2,No,2,Unknown
1918-08-26,Summer,United Kingdom,Europe,Blackburn R.T.1 Kangaroo,Royal Air Force - RAF,Seaton Carew AFB - Seaton Carew AFB,2,Yes,0,Unknown
1918-09-13,Autumn,United Kingdom,Europe,De Havilland DH.9,Royal Air Force - RAF,,,Yes,0,Weather
1918-10-06,Autumn,United Kingdom,Europe,Avro 504,Royal Air Force - RAF,Castle Bromwich - Castle Bromwich,1,Yes,0,Technical failure
1918-10-27,Autumn,France,Europe,De Havilland DH.4,Royal Air Force - RAF,,2,No,2,Unknown
1918-11-09,Autumn,United States of America,North America,De Havilland DH.4,United States Signal Corps - USSC,,,,0,Unknown
1918-11-12,Autumn,United States of America,North America,De Havilland DH.4,United States Signal Corps - USSC,,,,0,Unknown
1918-11-12,Autumn,United States of America,North America,De Havilland DH.4,United States Signal Corps - USSC,,2,Yes,1,Unknown
1918-11-14,Autumn,United Kingdom,Europe,Avro 504,Royal Air Force - RAF,Old Sarum - Old Sarum,2,Yes,1,Unknown
1918-11-14,Autumn,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,,0,Technical failure
1918-11-20,Autumn,United States of America,North America,De Havilland DH.4,United States Signal Corps - USSC,,,,0,Unknown
1918-12-02,Winter,United States of America,North America,De Havilland DH.4,United States Signal Corps - USSC,,0,,0,Unknown
1918-12-08,Winter,United States of America,North America,De Havilland DH.4,United States Signal Corps - USSC,,,,0,Technical failure
1918-12-16,Winter,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,1,No,1,Human factor
1918-12-21,Winter,United Kingdom,Europe,Avro 504,Royal Air Force - RAF,Bicester - Bicester,2,Yes,0,Unknown
1918-12-22,Winter,Greece,Europe,Breguet 14,French Air Force - Armée de l'Air,Thessaloniki - Athens,1,No,1,Weather
1918-12-31,Winter,United Kingdom,Europe,Blackburn R.T.1 Kangaroo,Royal Air Force - RAF,Seaton Carew AFB - Seaton Carew AFB,2,No,2,Unknown
1919-01-16,Winter,United Kingdom,Europe,Handley Page V/1500,Handley Page Aircraft Company Ltd,,5,Yes,0,Unknown
1919-02-20,Winter,France,Europe,De Havilland DH.4,French Air Force - Armée de l'Air,,1,No,1,Unknown
1919-02-23,Winter,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Technical failure
1919-03-10,Spring,United States of America,North America,Handley Page H.P.12,United States Army Air Service - USAAS,,0,,0,Technical failure
1919-03-18,Spring,United Kingdom,Europe,Handley Page H.P.12,Royal Air Force - RAF,Castle Bromwich - Castle Bromwich,5,Yes,0,Weather
1919-03-19,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,,0,Weather
1919-03-23,Spring,France,Europe,Unnamed aircraft,Private French,,2,Yes,0,Technical failure
1919-04-07,Spring,France,Europe,Unnamed aircraft,Private French,,,Yes,0,Technical failure
1919-04-15,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,,0,Weather
1919-04-21,Spring,France,Europe,Caudron C.23,Private French,Villacoublay - Rome,2,No,2,Technical failure
1919-04-22,Spring,United Kingdom,Europe,Handley Page H.P.12,Royal Air Force - RAF,Andover - Andover,7,Yes,5,Unknown
1919-04-26,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,,0,Technical failure
1919-05-01,Spring,United Kingdom,Europe,De Havilland DH.9,Aircraft Transport %26 Travel - AT%26T,Hendon - Bournemouth,1,No,1,Unknown
1919-05-02,Spring,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1919-05-03,Spring,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1919-05-04,Spring,Slovakia,Europe,Caproni Ca.33,Regia Aeronautica,Udine - Bratislava,4,No,4,Unknown
1919-05-06,Spring,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,Ellington AFB - Ellington AFB,0,,0,Unknown
1919-05-15,Spring,France,Europe,De Havilland DH.4,Royal Air Force - RAF,London - Paris,2,No,2,Unknown
1919-05-15,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,,0,Unknown
1919-05-17,Spring,Italy,Europe,Handley Page H.P.12,Royal Air Force - RAF,London – Paris – Pisa – Rome – Cairo,5,Yes,2,Unknown
1919-05-19,Spring,Belgium,Europe,Farman F.60 Goliath,Private French,,,,0,Unknown
1919-05-24,Spring,United Kingdom,Europe,De Havilland DH.6,Royal Air Force - RAF,Aldeburgh - Aldeburgh,2,No,2,Unknown
1919-05-24,Spring,United Kingdom,Europe,De Havilland DH.6,Royal Air Force - RAF,Aldeburgh - Aldeburgh,2,Yes,1,Unknown
1919-05-25,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,Cleveland – Chicago,1,No,1,Technical failure
1919-05-31,Spring,United Kingdom,Europe,Blackburn R.T.1 Kangaroo,Grahame-White Aviation,,3,Yes,0,Technical failure
1919-06-02,Summer,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1919-06-15,Summer,Ireland,Europe,Vickers FB.27 Vimy Commercial,Vickers-Armstrongs Ltd,Saint John's - Clifden,2,Yes,0,Unknown
1919-06-15,Summer,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,,0,Technical failure
1919-06-24,Summer,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1919-06-29,Summer,United Kingdom,Europe,Blackburn R.T.1 Kangaroo,Grahame-White Aviation,Hendon - Hendon,3,Yes,0,Unknown
1919-07-15,Summer,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,,0,Weather
1919-07-18,Summer,United Kingdom,Europe,De Havilland DH.10 Amiens,Royal Air Force - RAF,Hendon - Hendon,3,No,3,Human factor
1919-07-19,Summer,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,Bellefonte – Cleveland,1,No,1,Weather
1919-07-19,Summer,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,College Park - College Park,1,Yes,0,Technical failure
1919-07-21,Summer,United Kingdom,Europe,Avro 504,Berkshire Aviation,,1,Yes,0,Unknown
1919-07-21,Summer,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,,0,Human factor
1919-08-02,Summer,Italy,Europe,Caproni Ca.48,Caproni Trasporti,Venice - Milan,14,No,14,Technical failure
1919-08-05,Summer,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1919-08-06,Summer,United Kingdom,Europe,Avro 536,Avro Air Transport,Hounslow Heath – Sandhurst,4,No,1,Unknown
1919-08-11,Summer,United Kingdom,Europe,Felixstowe F.4 Fury,Royal Air Force - RAF,Felixstowe - Felixstowe,7,Yes,1,Unknown
1919-08-14,Summer,Czech Republic,Europe,De Havilland DH.4,Private Czech,,0,,0,Unknown
1919-08-15,Summer,United Kingdom,Europe,Armstrong Whitworth F.K.8,London %26 Provincial Aviation,,2,Yes,0,Unknown
1919-08-18,Summer,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1919-08-20,Summer,Mexico,Central America,De Havilland DH.4,United States Army Air Service - USAAS,,1,Yes,0,Technical failure
1919-08-21,Summer,United Kingdom,Europe,Avro 504,Avro Air Transport,,1,Yes,0,Unknown
1919-08-23,Summer,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1919-08-28,Summer,United Kingdom,Europe,Avro 504,H. V. David,,1,Yes,0,Unknown
1919-08-28,Summer,United Kingdom,Europe,Avro 504,Avro Air Transport,,0,Yes,0,Unknown
1919-08-30,Summer,United Kingdom,Europe,Avro 536,Avro Air Transport,Manston- Hounslow Heath,3,Yes,0,Weather
1919-09-01,Autumn,United Kingdom,Europe,Avro 504,Avro Air Transport,Weston-super-Mare - Weston-super-Mare,1,Yes,0,Unknown
1919-09-01,Autumn,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Technical failure
1919-09-09,Autumn,United Kingdom,Europe,Avro 536,Avro Air Transport,,1,Yes,0,Unknown
1919-09-09,Autumn,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1919-09-09,Autumn,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1919-09-17,Autumn,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1919-09-20,Autumn,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1919-09-26,Autumn,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
